numero	binario	posiciones	sumas	filtro_final
1	1	[1]	[2]	[2]:(2|1)
3	11	[2 1]	[2 3 4]	[2 4]:(2|2)
5	101	[3 1]	[2 4 6]	[2 4 6]:(2|3)
11	1011	[4 2 1]	[2 3 4 5 6 8]	[2 4 6 8]:(2|4)
21	10101	[5 3 1]	[2 4 6 8 10]	[2 4 6 8 10]:(2|5)
43	101011	[6 4 2 1]	[2 3 4 5 6 7 8 10 12]	[2 4 6 8 10 12]:(2|6)
83	1010011	[7 5 2 1]	[2 3 4 6 7 8 9 10 12 14]	[2 4 6 8 10 12 14]:(2|7)
167	10100111	[8 6 3 2 1]	[2 3 4 5 6 7 8 9 10 11 12 14 16]	[2 4 6 8 10 12 14 16]:(2|8)
325	101000101	[9 7 3 1]	[2 4 6 8 10 12 14 16 18]	[2 4 6 8 10 12 14 16 18]:(2|9)
651	1010001011	[10 8 4 2 1]	[2 3 4 5 6 8 9 10 11 12 14 16 18 20]	[2 4 6 8 10 12 14 16 18 20]:(2|10)
1301	10100010101	[11 9 5 3 1]	[2 4 6 8 10 12 14 16 18 20 22]	[2 4 6 8 10 12 14 16 18 20 22]:(2|11)
2603	101000101011	[12 10 6 4 2 1]	[2 3 4 5 6 7 8 10 11 12 13 14 16 18 20 22 24]	[2 4 6 8 10 12 14 16 18 20 22 24]:(2|12)
5189	1010001000101	[13 11 7 3 1]	[2 4 6 8 10 12 14 16 18 20 22 24 26]	[2 4 6 8 10 12 14 16 18 20 22 24 26]:(2|13)
10379	10100010001011	[14 12 8 4 2 1]	[2 3 4 5 6 8 9 10 12 13 14 15 16 18 20 22 24 26 28]	[2 4 6 8 10 12 14 16 18 20 22 24 26 28]:(2|14)
20757	101000100010101	[15 13 9 5 3 1]	[2 4 6 8 10 12 14 16 18 20 22 24 26 28 30]	[2 4 6 8 10 12 14 16 18 20 22 24 26 28 30]:(2|15)
41515	1010001000101011	[16 14 10 6 4 2 1]	[2 3 4 5 6 7 8 10 11 12 14 15 16 17 18 20 22 24 26 28 30 32]	[2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32]:(2|16)
83013	10100010001000101	[17 15 11 7 3 1]	[2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34]	[2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34]:(2|17)
166027	101000100010001011	[18 16 12 8 4 2 1]	[2 3 4 5 6 8 9 10 12 13 14 16 17 18 19 20 22 24 26 28 30 32 34 36]	[2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36]:(2|18)
332053	1010001000100010101	[19 17 13 9 5 3 1]	[2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38]	[2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38]:(2|19)
664107	10100010001000101011	[20 18 14 10 6 4 2 1]	[2 3 4 5 6 7 8 10 11 12 14 15 16 18 19 20 21 22 24 26 28 30 32 34 36 38 40]	[2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40]:(2|20)
